date,Close,High,Low,Open,Volume
2000-01-03,91.61705017089844,93.3887593491066,90.6327672941161,93.3887593491066,8164300
2000-01-04,88.03427124023438,90.75089231160118,87.96537143045333,90.41623609266469,8089800
2000-01-05,88.19171905517578,89.15631598234177,86.45938171659198,88.15234775202615,12177900
2000-01-06,86.77436828613281,89.13664691461193,86.77436828613283,87.95550760037237,6227200
2000-01-07,91.81389617919922,91.81389617919922,88.23110692006236,88.38859216222222,8066500
2000-01-10,92.12886047363281,92.54225920652732,91.36111996968587,92.12886047363281,5741700
2000-01-11,91.02647399902344,92.03044246224796,90.3965330024904,91.85327155697304,7503700
2000-01-12,90.1209487915039,91.08554610272796,90.0028348350275,91.08554610272796,6907700
2000-01-13,91.34144592285156,91.81390167762494,90.2587348181626,91.00678976322043,5158300
2000-01-14,92.58165740966797,92.89662796432557,91.95171630035277,92.30605817434257,7437300
2000-01-18,91.85327911376953,92.36510621556079,91.45956595854548,91.5579942473515,6488500
2000-01-19,92.60136413574219,92.60136413574219,91.34148163049399,91.53833827193903,6157900
2000-01-20,91.1839828491211,92.58166479693793,90.59341301201539,92.58166479693793,5800100
2000-01-21,90.98712921142578,91.65644171536097,90.75090126886042,91.65644171536097,6244800
2000-01-24,88.4083023071289,91.87297859438223,87.817732485438,91.75486463004405,7896900
2000-01-25,89.41226196289062,89.41226196289062,87.56181004203819,88.51656449056311,9942500
2000-01-26,88.70357513427734,89.16618809824884,88.25080499932653,88.82168908252538,5158100
2000-01-27,88.34925079345703,89.5894474957716,87.01062578143495,89.35321955247359,10922700
2000-01-28,85.59324645996094,88.23112480072331,85.37670420810731,87.83741161553489,11916200
2000-01-31,87.91617584228516,87.98507566661296,85.0420688846108,85.55389615104596,10768700
2000-02-01,88.78228759765625,89.25474323010496,87.26649244354992,88.0342328462791,8419900
2000-02-02,88.86101531982422,89.60906994591046,88.42793106261638,88.99881485620853,6205900
2000-02-03,90.1996841430664,90.23905545871156,88.19174704516314,88.7429454641954,7997500
